自治体,タイトル,URL,取得日
埼玉県,令和8年度公募型パラスポーツ活動支援事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0312/koubogatapara2026.html,2026-05-02
埼玉県,新予算編成システム構築支援業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0103/sinyosannhennseisistem.html,2026-05-02
埼玉県,令和8年度ICT導入による看護業務改善を目指す病院へのアドバイザー派遣事業に係る委託業務の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0709/2026ictadvisercompe.html,2026-05-02
埼玉県,令和8年度応急住宅対策訓練実施等業務委託プロポーザルの実施について,https://www.pref.saitama.lg.jp/a1107/oukyujuutaku-proposal/r8oukyujuutaku-proposal.html,2026-05-02
埼玉県,【募集終了】 ロボット関連技術PRカード作成等業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0812/r8kikakuteian_prcard.html,2026-05-02
埼玉県,【契約先候補者決定】「高齢者を守るお助けかわらばん」作成業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0310/kawaraban-teian.html,2026-05-02
埼玉県,彩の国資源循環工場地産エネルギー活用モデル調査業務に係る公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0503/chisan-energy/energy.html,2026-05-02
埼玉県,未来をひらく快適空間整備事業業務委託の公募型プロポーザルについて,https://www.pref.saitama.lg.jp/a0205/miraiwo-hiraku.html,2026-05-02
埼玉県,「市町村健康づくり支援事業業務委託」の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0704/kenko/kenko/shien/202603itaku.html,2026-05-02
埼玉県,令和8年度外形標準課税基礎研修委託業務プロポーザルについて,https://www.pref.saitama.lg.jp/a0209/gyoumuitaku_gaikei.html,2026-05-02
埼玉県,埼玉の「花」を生かした観光誘客プロモーション業務委託企画提案競技について,https://www.pref.saitama.lg.jp/a0806/hana_promotion.html,2026-05-02
埼玉県,【募集終了】金融機関との連携によるサーキュラーエコノミー普及促進強化事業業務委託の企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0812/r8_kinyuukikance.html,2026-05-02
埼玉県,地域見守り力向上事業業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0310/itaku_mimamoriryoku/mimamoriryokukojo2.html,2026-05-02
埼玉県,令和8年度県政情報プロモーション業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0314/kenseijyouhoupuromo_r8.html,2026-05-02
埼玉県,メタバース基盤再構築・運営事業業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0104/dx/20240409_koubo.html,2026-05-02
埼玉県,【募集終了】令和8年度 若者の出会い・結婚支援に関する情報発信業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0607/wakamonodeaijouhouhasshin.html,2026-05-02
埼玉県,【募集終了】令和8年度 若者の出会い交流イベント業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0607/wakamonodeaievent.html,2026-05-02
埼玉県,ICT推進支援業務委託に係る企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0105/ict-suishin.html,2026-05-02
埼玉県,令和8年度埼玉版FEMA防災人材育成等業務委託公募型プロポーザルの実施について,https://www.pref.saitama.lg.jp/a0401/r8femajinzaiikusei.html,2026-05-02
埼玉県,生成AI等による申請・相談のデジタルサポート導入及び運用保守業務委託企画提案競技の実施について,https://www.pref.saitama.lg.jp/a0104/seiseiai2026kikakuteian.html,2026-05-02
埼玉県,令和8年度埼玉県介護支援専門員実務研修における実習指導者研修会事業業務委託契約に係る企画提案の公募（プロポーザル）,https://www.pref.saitama.lg.jp/a0603/caremanager/r6-jitsumukensyujissyushido.html,2026-05-02
埼玉県,令和8年度埼玉県介護支援専門員レベルアップ研修事業業務委託契約に係る企画提案の公募（プロポーザル）,https://www.pref.saitama.lg.jp/a0603/caremanager/r8-levelup_proposal.html,2026-05-02
